index	race	incar
31398	Black	NA
30910	Black	NA
28636	Black	NA
30180	Black	NA
27253	Black	1
30834	Black	1
29140	Black	1
34775	Black	NA
33237	Black	NA
32505	Black	NA
32800	Black	1
30647	Black	1
34558	Black	NA
27688	Black	NA
28933	Black	NA
34337	Black	NA
32861	Black	NA
34091	Black	1
26061	Black	NA
24293	Black	NA
27854	Black	1
23613	Black	NA
30750	Black	NA
32307	Black	NA
31694	Black	NA
30883	Black	NA
30190	Black	NA
25838	Black	NA
32557	Black	NA
33375	Black	NA
29259	Black	NA
35048	Black	NA
29210	Black	NA
32413	Black	1
34957	Black	NA
23592	Black	NA
34090	Black	NA
27585	Black	NA
30285	Black	NA
32151	Black	NA
34189	Black	NA
32218	Black	1
34785	Black	NA
26785	Black	1
33534	Black	NA
31526	Black	NA
29605	Black	1
29751	Black	NA
30881	Black	NA
26475	Black	NA
30798	Black	1
24444	Black	NA
30780	Black	NA
26054	Black	NA
34068	Black	NA
23835	Black	NA
32150	Black	1
27903	Black	NA
25819	Black	NA
24995	Black	NA
24941	Black	NA
30340	Black	NA
29396	Black	NA
34951	Black	NA
34064	Black	NA
34762	Black	NA
30416	Black	NA
30990	Black	NA
23583	Black	1
31904	Black	NA
29948	Black	1
31539	Black	NA
26494	Black	NA
30979	Black	NA
34648	Black	NA
26992	Black	NA
33082	Black	NA
25765	Black	1
28867	Black	NA
32545	Black	NA
30382	Black	NA
27672	Black	NA
27951	Black	1
26788	Black	1
29963	Black	1
33677	Black	NA
34069	Black	NA
34313	Black	NA
24881	Black	NA
27026	Black	NA
26414	Black	1
33848	Black	1
23606	Black	NA
24599	Black	NA
31490	Black	1
32081	Black	NA
23116	Black	1
34448	Black	NA
30628	Black	1
30507	Black	NA
31356	Black	NA
31088	Black	NA
30508	Black	NA
28002	Black	NA
29406	Black	1
33699	Black	NA
31444	Black	NA
32888	Black	NA
23819	Black	NA
32570	Black	1
32662	Black	NA
32732	Black	NA
26135	Black	NA
23770	Black	NA
30045	Black	1
32279	Black	NA
26570	Black	1
30109	Black	NA
31917	Black	1
35213	Black	1
28020	Black	NA
32738	Black	1
34889	Black	NA
25192	Black	NA
35163	Black	1
31695	Black	NA
26993	Black	NA
30540	Black	NA
29992	Black	1
32322	Black	1
32638	Black	1
32310	Black	NA
27078	Black	NA
30374	Black	1
16756	White	NA
10055	White	1
6772	White	1
7231	White	1
16918	White	NA
18942	White	NA
15462	White	NA
8628	White	NA
10826	White	NA
5681	White	NA
17304	White	1
19743	White	1
5605	White	1
18360	White	NA
16465	White	NA
20243	White	NA
16335	White	NA
22607	White	NA
12690	White	1
16745	White	1
17455	White	1
2184	White	NA
19500	White	NA
19114	White	NA
13383	White	NA
10765	White	NA
1257	White	NA
9362	White	NA
7400	White	NA
5281	White	NA
19023	White	NA
5163	White	NA
12922	White	NA
14966	White	NA
21317	White	1
2533	White	NA
12050	White	NA
6178	White	NA
9803	White	NA
7923	White	1
5606	White	NA
11985	White	NA
3521	White	NA
13460	White	1
10316	White	NA
12511	White	NA
2690	White	NA
3253	White	NA
13479	White	NA
21944	White	NA
21304	White	1
3373	White	1
11618	White	NA
21761	White	NA
12913	White	NA
22992	White	NA
4472	White	NA
20762	White	NA
8627	White	NA
22017	White	NA
17921	White	NA
3634	White	NA
4649	White	NA
18121	White	NA
5936	White	NA
14452	White	NA
11442	White	NA
14075	White	1
3940	White	NA
14679	White	NA
22065	White	NA
16013	White	1
11619	White	1
12305	White	1
20256	White	1
7900	White	NA
22281	White	NA
1856	White	1
18923	White	1
15092	White	1
7688	White	NA
1442	White	NA
7909	White	NA
22237	White	NA
22825	White	NA
15545	White	1
17448	White	NA
12904	White	1
13609	White	1
7830	White	NA
3051	White	NA
17676	White	NA
9296	White	NA
17829	White	NA
19059	White	1
22718	White	1
2493	White	NA
9550	White	NA
10764	White	NA
7269	White	NA
1082	White	NA
20934	White	NA
18158	White	NA
12577	White	1
10769	White	NA
20265	White	NA
4359	White	1
22780	White	NA
9623	White	NA
12322	White	NA
4466	White	NA
18762	White	1
5688	White	NA
15980	White	NA
9818	White	NA
18801	White	NA
9151	White	NA
2276	White	NA
6680	White	NA
5622	White	NA
18875	White	NA
7911	White	NA
11121	White	NA
1325	White	NA
15891	White	NA
17274	White	1
19358	White	NA
8378	White	1
17418	White	1
2958	White	NA
8253	White	NA
17237	White	NA
16149	White	1
374	White	1
18535	White	NA
8284	White	NA
13517	White	NA
8830	White	NA
16691	White	NA
6716	White	NA
4088	White	1
10395	White	NA
17684	White	NA
13598	White	NA
9621	White	NA
18686	White	NA
6919	White	NA
15895	White	NA
16323	White	NA
4397	White	NA
1331	White	1
21695	White	1
6551	White	NA
5227	White	1
12867	White	1
5383	White	NA
18572	White	NA
14057	White	1
6630	White	1
10241	White	NA
9888	White	1
14591	White	1
2439	White	1
19419	White	1
12260	White	NA
5572	White	NA
10390	White	NA
