confidence_1	humanaccuracy_1	humanaccuracy_comparison_1	confidence_2	humanaccuracy_2	humanaccuracy_comparison_2	trust_2	use_likelihood_2	use_binary_2	confidence_3	humanaccuracy_3	humanaccuracy_comparison_3	trust_3	use_likelihood_3	use_binary_3	id
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	approximately equal to the median accuracy (41-60%)	No	1/13	0/13	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	No	1/25	0/25	1
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	No	0/14	0/14	Moderately confident	18/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	2
Extremely confident	10/14	higher than most accuracies (61-80%)	Extremely confident	10/13	higher than most accuracies (61-80%)	Yes	7/13	6/13	Extremely confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	20/25	15/25	3
Somewhat confident	5/14	lower than most accuracies (21-40%)	Slightly confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	6/13	Somewhat confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	12/25	4
Moderately confident	11/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	0/13	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	4/25	0/25	5
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	12/13	0/13	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	No	25/25	0/25	6
Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	2/14	1/14	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	3/25	2/25	7
Somewhat confident	5/14	lower than most accuracies (21-40%)	Somewhat confident	6/13	approximately equal to the median accuracy (41-60%)	Yes	6/13	2/13	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	Yes	4/25	4/25	8
Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	5/13	approximately equal to the median accuracy (41-60%)	No	12/13	1/13	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	8/25	3/25	9
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	6/13	among the lowest accuracies (0-20%)	Yes	9/13	9/13	Somewhat confident	12/25	among the lowest accuracies (0-20%)	Yes	13/25	17/25	10
